timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777284068279,0,GET /users/{id},Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-8,text,false,,2293,0,10,10,http://localhost:8080/api/users/1,0,0,0
1777284068281,0,GET /roadmap-items/search/jpql?status=PLANNED,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-3,text,false,,2293,0,10,10,http://localhost:8080/api/roadmap-items/search/jpql?status=PLANNED,0,0,0
1777284068290,0,GET /roadmap-items/search/native?status=PLANNED,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-2,text,false,,2293,0,10,10,http://localhost:8080/api/roadmap-items/search/native?status=PLANNED,0,0,0
1777284068290,0,GET /roadmap-items/entity-graph,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-7,text,false,,2293,0,10,10,http://localhost:8080/api/roadmap-items/entity-graph,0,0,0
1777284068292,0,POST /roadmap-items/bulk/non-transactional/{roadMapId},Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-5,text,false,,2293,0,10,10,http://localhost:8080/api/roadmap-items/bulk/non-transactional/1,0,0,0
1777284068296,0,GET /roadmap-items/search/native?status=PLANNED,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-1,text,false,,2293,0,10,10,http://localhost:8080/api/roadmap-items/search/native?status=PLANNED,0,0,0
1777284068296,0,POST /async-tasks/roadmaps/{roadMapId}/bulk-roadmap-items,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-4,text,false,,2293,0,10,10,http://localhost:8080/api/async-tasks/roadmaps/1/bulk-roadmap-items,0,0,0
1777284068326,0,POST /transactions/without-transactional,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-10,text,false,,2293,0,10,10,http://localhost:8080/api/transactions/without-transactional,0,0,0
1777284068384,0,GET /tags/{id},Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-9,text,false,,2293,0,10,10,http://localhost:8080/api/tags/1,0,0,0
1777284068383,1,POST /roadmap-items/bulk/non-transactional/{roadMapId},Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-6,text,false,,2293,0,10,10,http://localhost:8080/api/roadmap-items/bulk/non-transactional/1,0,0,1
1777284068384,0,GET /roadmap-items/search/native?status=PLANNED,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-3,text,false,,2293,0,10,10,http://localhost:8080/api/roadmap-items/search/native?status=PLANNED,0,0,0
1777284068383,1,GET /roadmap-items/entity-graph,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-8,text,false,,2293,0,10,10,http://localhost:8080/api/roadmap-items/entity-graph,0,0,1
1777284068393,1,POST /concurrency/race-condition,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-2,text,false,,2293,0,10,10,http://localhost:8080/api/concurrency/race-condition,0,0,1
1777284068396,0,POST /roadmap-items/bulk/transactional/{roadMapId},Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-7,text,false,,2293,0,10,10,http://localhost:8080/api/roadmap-items/bulk/transactional/1,0,0,0
1777284068396,0,POST /async-tasks/roadmaps/{roadMapId}/bulk-roadmap-items,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-5,text,false,,2293,0,10,10,http://localhost:8080/api/async-tasks/roadmaps/1/bulk-roadmap-items,0,0,0
